,ids,Chemistry,Physics,Signals Processing,Calculus,Electrical Engineering I,Engineering Drawing,Bioengineering I,Computer Science I,Linear Algebra,Mechanics I,Quantum Computing I,Metallurgy I,Metallurgy II,DSA,Probability and Statistics,Theory of Computation,Chemistry Lab,Mechanics Workshop,Physics Lab,Biochemistry Lab,Computer Architecture,Works of Charles Dickens,Electronics,UI Design I,Thermodynamics,Operating Systems,Machine Learning I,Works of Arthur Conan Doyle,Works of George Lucas,Works of Tolkien,Commonwealth Literature,Works of Shakespeare
0,R001,B-,A-,A-,A-,A-,A,A,B,B-,B,B-,B,A-,B,A-,C,B,B-,B,A-,B-,A-,B-,B,B-,B,B-,B-,B-,B-,B-,B-
1,R002,C,C,C,D,B,C,C,A-,C,C,C,B-,B-,D,C,C-,B-,B-,C-,A-,D,B-,C-,B-,C,C-,C,B,B-,B-,B-,B-
2,R003,B-,A,A-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-
3,R004,B,A-,A,A-,B,B,B,A-,B,A-,B,B,B,A-,A-,B-,B,A,C-,A-,B,B-,B,B,B,C,A,B-,B-,B-,B-,B-
4,R005,B-,C-,C,D,C-,C,C-,B-,B-,B-,C,B,B,D,B-,C-,B,B-,C-,B,D,B-,D,B,C,F,E,B-,A,B-,B-,B-
5,R006,B-,B-,A-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-
6,R007,B-,B-,B-,B,B-,B,B,B,B-,B,B,B,B,B-,A-,C-,B,B-,B,C,C-,B-,C,B-,C,C-,B-,B-,B,B-,B-,B-
7,R008,A-,C,B,B-,C,B-,B,B,A-,B-,B-,B,B,C,B-,D,B,C-,C-,B-,D,C,B-,B,C,E,C-,B-,B-,B-,B-,B-
8,R009,B,B-,B,B-,C,C-,B-,C,B-,B-,B-,B-,B,C-,B-,D,B,B-,D,C,C,B-,B,B-,C-,B-,D,B-,B-,B,B-,B-
9,R010,B,B,B,B,B,A,A-,A-,B-,B,A-,B,B,B-,A-,C,B,B-,C-,B,B,B-,B,B,B-,B-,B-,B-,B-,B-,C,B-
10,R011,B,B-,A-,B-,B-,C-,B-,A-,B,C,C,B,D,B,B-,B,B,B-,D,A-,B,B-,B,A,B,A,A-,B-,A,B-,B-,B-
11,R012,A,B,A-,A,C,C,A-,B,B-,B-,A-,B,C,B,B-,B,A-,B-,C-,A-,B,B-,B-,B-,B,B,B-,B-,B-,B-,B-,B
12,R013,A-,A-,B,C-,A-,B-,B,A,A-,B,B,B,B-,B-,A-,B,B,B-,B-,B-,B-,B-,B-,B,B-,B-,A,B-,B-,B-,B-,B-
13,R014,B-,A,B-,A,A,B,A-,A-,B,A-,C,B-,C,C,C,C,A-,B,B-,C-,B-,B-,B-,B,B,B-,C-,B,B-,B-,B-,B-
14,R015,A-,B,B-,A,C,C,B-,B-,B,B-,B-,B,A-,C-,B-,C,A-,C,C,C-,C,B-,C-,B,B,C-,D,B-,B-,B-,B-,B-
15,R016,B,B,B-,B-,B-,B,B-,B-,B-,B,B-,B,B,B-,B-,C-,A-,B-,B-,C-,B-,B-,C,B,B-,B,C,B-,B-,B-,C,B-
16,R017,B-,A,A-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-
17,R018,B-,B,B-,A,A-,B,A,A,B,A,C,B,C-,B,B-,C-,A-,B,C,C-,B-,B-,C,B,C,C,A-,B-,A-,B-,B-,B-
18,R019,B,B,B-,A-,A-,B-,A-,B,B-,A-,B-,B,B-,B,B,C,B-,C-,C-,C,C,B-,B,B-,A-,C,B-,B-,A-,B-,B-,B-
19,R020,A,A,A,A-,A-,B,A-,A,A-,B-,B,B,A-,A,A-,B,B-,C,C,B,A,B-,B,B-,A-,A-,A,B-,B-,B-,B-,B-
20,R021,B,A,A-,A-,A,B,A,A,B-,B,B,B,B,A-,B,B-,B,A-,B,C,B,B-,B,A-,B,B,A,B-,B-,B-,B-,B-
21,R022,A-,A,B,B-,A-,A,A,A-,B,B,B-,A-,A-,B,A,C,B-,A,C-,A,A-,A-,A-,A-,A-,B,A-,B-,B-,B-,B-,B-
22,R023,A-,B-,A-,B-,C,C,C,B,B,B-,B-,A-,B-,D,A-,C,B-,C-,C,B-,C,B-,B,B-,A-,C-,C,B,B-,B-,B-,B-
23,R024,C,C,B-,B-,C-,D,B-,C-,C-,D,D,B,B-,C-,C,D,B-,B-,C-,B-,F,B-,C-,B-,D,E,F,B-,C-,B-,B-,B-
24,R025,B-,B-,A,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-
25,R026,B-,B-,B-,C,C,B,B-,C,C,C-,C,A-,C,D,B-,D,B-,D,C,B-,C-,B,C,B-,B-,D,D,B-,B-,B-,B-,B-
