,ids,Chemistry,Physics,Signals Processing,Calculus,Electrical Engineering I,Engineering Drawing,Bioengineering I,Computer Science I,Linear Algebra,Mechanics I,Quantum Computing I,Metallurgy I,Metallurgy II,DSA,Probability and Statistics,Theory of Computation,Chemistry Lab,Mechanics Workshop,Physics Lab,Biochemistry Lab,Computer Architecture,Works of Charles Dickens,Electronics,UI Design I,Thermodynamics,Operating Systems,Machine Learning I,Works of Arthur Conan Doyle,Works of George Lucas,Works of Tolkien,Commonwealth Literature,Works of Shakespeare
0,R001,7.0,9.0,9.0,9.0,9.0,10.0,10.0,8.0,7.0,8.0,7.0,8.0,9.0,8.0,9.0,6.0,8.0,7.0,8.0,9.0,7.0,9.0,7.0,8.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0
1,R002,6.0,6.0,6.0,4.0,8.0,6.0,6.0,9.0,6.0,6.0,6.0,7.0,7.0,4.0,6.0,5.0,7.0,7.0,5.0,9.0,4.0,7.0,5.0,7.0,6.0,5.0,6.0,8.0,7.0,7.0,7.0,7.0
2,R003,7.0,10.0,9.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
3,R004,8.0,9.0,10.0,9.0,8.0,8.0,8.0,9.0,8.0,9.0,8.0,8.0,8.0,9.0,9.0,7.0,8.0,10.0,5.0,9.0,8.0,7.0,8.0,8.0,8.0,6.0,10.0,7.0,7.0,7.0,7.0,7.0
4,R005,7.0,5.0,6.0,4.0,5.0,6.0,5.0,7.0,7.0,7.0,6.0,8.0,8.0,4.0,7.0,5.0,8.0,7.0,5.0,8.0,4.0,7.0,4.0,8.0,6.0,0.0,,7.0,10.0,7.0,7.0,7.0
5,R006,7.0,7.0,9.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
6,R007,7.0,7.0,7.0,8.0,7.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,7.0,9.0,5.0,8.0,7.0,8.0,6.0,5.0,7.0,6.0,7.0,6.0,5.0,7.0,7.0,8.0,7.0,7.0,7.0
7,R008,9.0,6.0,8.0,7.0,6.0,7.0,8.0,8.0,9.0,7.0,7.0,8.0,8.0,6.0,7.0,4.0,8.0,5.0,5.0,7.0,4.0,6.0,7.0,8.0,6.0,,5.0,7.0,7.0,7.0,7.0,7.0
8,R009,8.0,7.0,8.0,7.0,6.0,5.0,7.0,6.0,7.0,7.0,7.0,7.0,8.0,5.0,7.0,4.0,8.0,7.0,4.0,6.0,6.0,7.0,8.0,7.0,5.0,7.0,4.0,7.0,7.0,8.0,7.0,7.0
9,R010,8.0,8.0,8.0,8.0,8.0,10.0,9.0,9.0,7.0,8.0,9.0,8.0,8.0,7.0,9.0,6.0,8.0,7.0,5.0,8.0,8.0,7.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0
10,R011,8.0,7.0,9.0,7.0,7.0,5.0,7.0,9.0,8.0,6.0,6.0,8.0,4.0,8.0,7.0,8.0,8.0,7.0,4.0,9.0,8.0,7.0,8.0,10.0,8.0,10.0,9.0,7.0,10.0,7.0,7.0,7.0
11,R012,10.0,8.0,9.0,10.0,6.0,6.0,9.0,8.0,7.0,7.0,9.0,8.0,6.0,8.0,7.0,8.0,9.0,7.0,5.0,9.0,8.0,7.0,7.0,7.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,8.0
12,R013,9.0,9.0,8.0,5.0,9.0,7.0,8.0,10.0,9.0,8.0,8.0,8.0,7.0,7.0,9.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,10.0,7.0,7.0,7.0,7.0,7.0
13,R014,7.0,10.0,7.0,10.0,10.0,8.0,9.0,9.0,8.0,9.0,6.0,7.0,6.0,6.0,6.0,6.0,9.0,8.0,7.0,5.0,7.0,7.0,7.0,8.0,8.0,7.0,5.0,8.0,7.0,7.0,7.0,7.0
14,R015,9.0,8.0,7.0,10.0,6.0,6.0,7.0,7.0,8.0,7.0,7.0,8.0,9.0,5.0,7.0,6.0,9.0,6.0,6.0,5.0,6.0,7.0,5.0,8.0,8.0,5.0,4.0,7.0,7.0,7.0,7.0,7.0
15,R016,8.0,8.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,8.0,8.0,7.0,7.0,5.0,9.0,7.0,7.0,5.0,7.0,7.0,6.0,8.0,7.0,8.0,6.0,7.0,7.0,7.0,6.0,7.0
16,R017,7.0,10.0,9.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
17,R018,7.0,8.0,7.0,10.0,9.0,8.0,10.0,10.0,8.0,10.0,6.0,8.0,5.0,8.0,7.0,5.0,9.0,8.0,6.0,5.0,7.0,7.0,6.0,8.0,6.0,6.0,9.0,7.0,9.0,7.0,7.0,7.0
18,R019,8.0,8.0,7.0,9.0,9.0,7.0,9.0,8.0,7.0,9.0,7.0,8.0,7.0,8.0,8.0,6.0,7.0,5.0,5.0,6.0,6.0,7.0,8.0,7.0,9.0,6.0,7.0,7.0,9.0,7.0,7.0,7.0
19,R020,10.0,10.0,10.0,9.0,9.0,8.0,9.0,10.0,9.0,7.0,8.0,8.0,9.0,10.0,9.0,8.0,7.0,6.0,6.0,8.0,10.0,7.0,8.0,7.0,9.0,9.0,10.0,7.0,7.0,7.0,7.0,7.0
20,R021,8.0,10.0,9.0,9.0,10.0,8.0,10.0,10.0,7.0,8.0,8.0,8.0,8.0,9.0,8.0,7.0,8.0,9.0,8.0,6.0,8.0,7.0,8.0,9.0,8.0,8.0,10.0,7.0,7.0,7.0,7.0,7.0
21,R022,9.0,10.0,8.0,7.0,9.0,10.0,10.0,9.0,8.0,8.0,7.0,9.0,9.0,8.0,10.0,6.0,7.0,10.0,5.0,10.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,7.0,7.0,7.0,7.0,7.0
22,R023,9.0,7.0,9.0,7.0,6.0,6.0,6.0,8.0,8.0,7.0,7.0,9.0,7.0,4.0,9.0,6.0,7.0,5.0,6.0,7.0,6.0,7.0,8.0,7.0,9.0,5.0,6.0,8.0,7.0,7.0,7.0,7.0
